participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
12,bozl4qj3,66a65de56966a5ed53b164d1,1,left,left,NA,NA,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,1,1,0,1,1,1,1,11.86,2,1.07,1,0.56,20,20,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,12.37,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
13,8cb6uo41,634842a70942fb4ba6aa1e88,3,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,2,1,0,1,1,2,1,1.37,0.96,0.51,0.98,0.01,60,60,100,20,20,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,0,1,0,1,0,0,0,0,4,1,2.5,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
16,ip8pc3l3,5cf6e4aae289a80019b6e032,2,left,left,NA,NA,3,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,1.49,1.55,0.61,0.45,1.16,60,40,120,100,100,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,0,1,0,1,0,0,0,0,4,1,2.5,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
17,nfldfczt,6761c8d87193a04458a6f291,1,NA,NA,left,left,2,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,option1A_tr.bmp,option1A_tr.bmp,1,1,2,1,0,1,1,2,1,1.61,3,3,3,3,40,20,100,-40,-40,0,0,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,0,0,1,0,0,0,0,0,4,4,1,2.5,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
18,zgc6suv8,5bdcdbe6ee652a0001eff5f2,4,NA,right,right,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0,1,0,1,option1B_tr.bmp,NA,0,0,1,1,0,0,0,1,1,1.33,3,1.27,2.81,0.34,-60,-60,-20,0,0,0,0,-1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,2,4,1,2.5,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
1,3zoti92b,63d7b16595cb392c4501cc1e,1,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.75,0.25,NA,NA,1,1,3,3,0,1,1,3,3,1.65,1.62,0.59,0.21,0.36,60,60,160,180,180,0,0,1,0,0,0,0,1,2,1,2,1,2,1,1,1,0,1,0,1,0,1,1,1,-1,1,1,0,1,0,0,0,1,0,0,0,2,2,1.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
2,afizty10,603ab5961f94c168254f7104,2,right,right,NA,NA,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.75,0.25,NA,NA,1,1,3,2,0,1,1,3,2,1.26,0.63,0.57,0.66,0.69,60,40,160,40,60,0,0,1,0,0,0,0,1,2,1,2,1,2,1,1,1,0,1,0,1,0,1,1,1,-1,1,1,0,1,0,0,0,1,0,0,0,2,2,1.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
3,esmriz5q,5e7e1679f8a96f4be83e51e4,2,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,3,0,1,1,2,3,0.57,0.77,0.51,2.96,0.82,60,60,60,140,140,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,3,2,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
4,5emixjgp,5f60c23b536ef9026ec9ece4,5,right,left,NA,NA,2,1,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,0,1,2,3,1,0,1,2,3,1.25,1.32,0.64,2.9,3.05,-40,20,40,120,60,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,0,0,1,0,0,0,1,0,0,2,2,1.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
5,8f2qn992,671d39090c9e2ad9ec75a03c,4,left,left,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,3,3,0,1,1,3,3,0.65,1.86,0.23,1.06,0.61,40,40,140,120,120,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,3,2,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
