participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.base_payoff,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,player.last_check_time,player.consecutive_missed_checks,group.id_in_subsession,group.current_round,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,group.disconnection_streaks,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9ph45ong,63e5747f1eb29ec68ae2ddd6,0,298,298,submission,Submit,2025-02-28 11:58:14.728219,1,,,0.0,3,,0.0,left,left,,,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,,,1,1,1,1,0,1,1,1,1,0.14,0.14,0.81,1.15,0.94,2.13,20,20,20,20,20,10.0,0.0,0.0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1740745010.2838788,1740745020.377047,0,4,1,1,3.12,1,1,5000,1,1740745034192.0413,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
2,03dxmu50,6740caf1acac02399ff5ce7a,0,298,298,submission,Submit,2025-02-28 11:58:15.574129,1,,,0.0,1,,0.0,,,right,left,3,1,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,2,2,0,4,option1A_tr.bmp,option1B_tr.bmp,1,0,1,0,1,1,1,1,1,0.85,0.84,3.0,3.0,3.0,3.0,60,20,60,20,20,10.0,0.0,0.0,1,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,2,0,0,0,1740745406.6007998,1740745416.9627585,0,5,1,1,0.99,1,1,5000,1,1740745427598.6362,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
3,fojjs599,5eca536f9aa4f658d641a7d9,0,298,298,submission,Submit,2025-02-28 11:58:42.142112,1,,,0.0,5,,0.0,right,right,,,1,1,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,2,2,,,1,1,1,1,0,1,1,1,1,0.37,0.37,0.37,1.47,0.73,0.84,20,20,20,20,20,10.0,0.0,0.0,1,0,0,0,0,2,1,1,1,2,1,2,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1740744792.832622,1740744813.130035,0,3,1,1,0.37,1,1,5000,1,1740744814842.3025,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
4,hc799a7p,661ff1375e36e533ec479a8c,0,298,298,submission,Submit,2025-02-28 11:59:14.146587,1,,,0.0,1,,0.0,left,right,,,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,0,4,4,0,,,0,1,0,1,1,1,1,1,1,0.34,0.34,1.75,0.88,0.83,0.33,60,60,60,60,60,10.0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1740745008.4318917,1740745018.6474557,0,4,1,1,3.12,1,1,5000,1,1740745034192.0413,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
5,hwrlkkd6,59f873de07e3780001ccd6e4,0,298,298,submission,Submit,2025-02-28 11:59:59.859916,1,,,0.0,2,,0.0,left,left,,,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,,,1,1,1,1,0,1,1,1,1,0.47,0.47,0.93,1.02,0.96,0.77,60,60,60,60,60,10.0,0.0,0.0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1740745008.469167,1740745018.6760912,0,4,1,1,3.12,1,1,5000,1,1740745034192.0413,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
6,0t9rv2ck,57b248d52075e2000113ba3d,0,298,298,submission,Submit,2025-02-28 12:00:00.373331,1,,,0.0,3,,0.0,,left,right,,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,3,1,1,3,option1A_tr.bmp,,1,0,1,0,1,1,1,1,1,0.2,0.2,3.0,3.0,1.64,3.0,60,40,60,40,40,10.0,0.0,0.0,1,1,1,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1740744793.7468784,1740744803.8805907,0,3,1,1,0.37,1,1,5000,1,1740744814842.3025,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
7,mmsd69xk,596e1edd39e9d00001b7bb98,0,298,298,submission,Submit,2025-02-28 12:00:08.501439,1,,,0.0,4,,0.0,right,right,,,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,2,2,,,1,1,1,1,0,1,1,1,1,0.17,0.17,0.35,0.64,1.5,0.48,60,60,60,60,60,10.0,0.0,0.0,1,0,0,0,0,2,1,1,1,2,1,2,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1740744792.789626,1740744812.8836498,0,3,1,1,0.37,1,1,5000,1,1740744814842.3025,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
8,sslaiy4e,5b0b369230d5620001553596,0,298,298,submission,Submit,2025-02-28 12:00:14.441479,1,,,0.0,1,,0.0,left,left,,,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0,4,1,3,,,0,0,0,0,0,1,1,1,1,0.24,0.24,2.07,1.23,2.12,0.84,60,60,60,60,60,10.0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1740744793.6506608,1740744813.792194,0,3,1,1,0.37,1,1,5000,1,1740744814842.3025,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
9,46svetpb,6085a4cc5f5f9ba1a3bfd785,0,298,298,submission,Submit,2025-02-28 12:00:17.244815,1,,,0.0,4,,0.0,right,left,,,2,1,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,3,1,0,4,,,1,0,1,0,1,1,1,1,1,0.39,0.39,1.01,3.0,0.74,0.37,40,20,40,20,20,10.0,0.0,0.0,1,0,1,0,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1740744615.0462523,1740744635.2353334,0,2,1,1,0.39,1,1,5000,1,1740744636905.483,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
10,n13dr538,6658da867c86929c183cec40,0,298,298,submission,Submit,2025-02-28 12:00:20.616274,1,,,0.0,4,,0.0,left,left,,,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,,,1,1,1,1,0,1,1,1,1,3.12,3.12,0.77,0.36,0.5,0.39,60,60,60,60,60,10.0,0.0,0.0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1740745008.8621628,1740745021.4070404,0,4,1,1,3.12,1,1,5000,1,1740745034192.0413,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,md97ik2a,,,,,0
